SITE,SITE_name,SUB_1_hr_init,SUB_2_hr_init,SUB_3_hr_init,1_hr_init,2_hr_init,3_hr_init,1_hr_recov,Percent_4.8_last_week,Percent_2.0_last_week,Percent_4.8,Percent_3.5,Percent_3.0,Percent_2.0,Percent_1.0,count_4.8,MeanDuration_4.8,MeanConcentration_4.8,EQ_4.8,count_4.8,count_3.5,MeanDuration_3.5,MeanConcentration_3.5,EQ_3.5,count_3.0,MeanDuration_3.0,MeanConcentration_3.0,EQ_3.0,count_2.0,MeanDuration_2.0,MeanConcentration_2.0,EQ_2.0,count_1.0,MeanDuration_1.0,MeanConcentration_1.0,EQ_1.0,Salinity,secchi_depth,site_depth,chl_a_ug_l
FI,Fire_Island,6.6,5.4,6,44.4,43.2,43.8,-10.8,19.36,0,8.813520951,0,0,0,0,31,3.18,4.67,21.11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.67,2.04,2.6,6.65
FI,Fire_Island,12,9,5.4,54.6,51.6,48,-7.8,19.36,0,8.813520951,0,0,0,0,31,3.18,4.67,21.11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.67,2.04,2.6,6.65
FI,Fire_Island,15.6,13.2,13.2,47.4,45,45,NA,19.36,0,8.813520951,0,0,0,0,31,3.18,4.67,21.11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.67,2.04,2.6,6.65
FI,Fire_Island,5.8,3.4,2.8,48.6,46.2,45.6,-1.8,19.36,0,8.813520951,0,0,0,0,31,3.18,4.67,21.11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.67,2.04,2.6,6.65
MB,Moneybogue,7.8,6,6.6,47.4,45.6,46.2,-1.2,40.36,2.17,41.86781769,28.38839678,21.65619303,14.13469169,8.057823056,53,9.01,3.51,136.06,53,43,7.56,2.63,123.8,39,6.21,2.26,107.14,25,6.33,1.69,93.7,16,5.64,0.85,105.52,27.53,0.61,1.36,20.91
MB,Moneybogue,1.8,3,3,39.6,40.8,40.8,NA,40.36,2.17,41.86781769,28.38839678,21.65619303,14.13469169,8.057823056,53,9.01,3.51,136.06,53,43,7.56,2.63,123.8,39,6.21,2.26,107.14,25,6.33,1.69,93.7,16,5.64,0.85,105.52,27.53,0.61,1.36,20.91
MB,Moneybogue,11.1,10.5,12.3,37.2,36.6,38.4,-1.2,40.36,2.17,41.86781769,28.38839678,21.65619303,14.13469169,8.057823056,53,9.01,3.51,136.06,53,43,7.56,2.63,123.8,39,6.21,2.26,107.14,25,6.33,1.69,93.7,16,5.64,0.85,105.52,27.53,0.61,1.36,20.91
MB,Moneybogue,-8.4,-10.8,-6.6,30,27.6,31.8,4.2,40.36,2.17,41.86781769,28.38839678,21.65619303,14.13469169,8.057823056,53,9.01,3.51,136.06,53,43,7.56,2.63,123.8,39,6.21,2.26,107.14,25,6.33,1.69,93.7,16,5.64,0.85,105.52,27.53,0.61,1.36,20.91
NB,Nicoll_Bay,5.4,3.6,3,43.8,42,41.4,-6.6,10.24,0,35.10346452,19.38124766,14.30909772,7.184299866,3.331876841,47,8.37,3.65,107.78,47,34,6.39,2.63,82.61,30,5.34,2.23,71.84,15,5.37,1.42,56.73,11,3.39,0.78,47.81,27.8,0.71,1.16,23.77
NB,Nicoll_Bay,-1.4,-2,-2.6,37.2,36.6,36,16.2,10.24,0,35.10346452,19.38124766,14.30909772,7.184299866,3.331876841,47,8.37,3.65,107.78,47,34,6.39,2.63,82.61,30,5.34,2.23,71.84,15,5.37,1.42,56.73,11,3.39,0.78,47.81,27.8,0.71,1.16,23.77
NB,Nicoll_Bay,10.6,8.2,10,46.8,44.4,46.2,-0.6,10.24,0,35.10346452,19.38124766,14.30909772,7.184299866,3.331876841,47,8.37,3.65,107.78,47,34,6.39,2.63,82.61,30,5.34,2.23,71.84,15,5.37,1.42,56.73,11,3.39,0.78,47.81,27.8,0.71,1.16,23.77
NB,Nicoll_Bay,na,na,na,16.2,22.8,11.4,6.6,10.24,0,35.10346452,19.38124766,14.30909772,7.184299866,3.331876841,47,8.37,3.65,107.78,47,34,6.39,2.63,82.61,30,5.34,2.23,71.84,15,5.37,1.42,56.73,11,3.39,0.78,47.81,27.8,0.71,1.16,23.77
Q,Quantuck Bay,na,na,na,45.6,47.4,47.4,NA,54.43,0.52,37.36783921,20.73833676,16.40615989,6.476119696,2.813756141,52,8.2,3.76,113.4,52,38,6.27,2.78,85.71,35,5.25,2.45,75,18,4.08,1.69,43.46,10,3.15,0.89,35.39,27.17,0.56,1.4,18.68
Q,Quantuck Bay,2,0.2,1.4,43.2,41.4,42.6,4.2,54.43,0.52,37.36783921,20.73833676,16.40615989,6.476119696,2.813756141,52,8.2,3.76,113.4,52,38,6.27,2.78,85.71,35,5.25,2.45,75,18,4.08,1.69,43.46,10,3.15,0.89,35.39,27.17,0.56,1.4,18.68
Q,Quantuck Bay,2.2,3.4,3.4,39,40.2,40.2,-0.6,54.43,0.52,37.36783921,20.73833676,16.40615989,6.476119696,2.813756141,52,8.2,3.76,113.4,52,38,6.27,2.78,85.71,35,5.25,2.45,75,18,4.08,1.69,43.46,10,3.15,0.89,35.39,27.17,0.56,1.4,18.68
Q,Quantuck Bay,5.8,5.8,7,39,39,40.2,NA,54.43,0.52,37.36783921,20.73833676,16.40615989,6.476119696,2.813756141,52,8.2,3.76,113.4,52,38,6.27,2.78,85.71,35,5.25,2.45,75,18,4.08,1.69,43.46,10,3.15,0.89,35.39,27.17,0.56,1.4,18.68
S,Sag_Harbor,12.4,12.4,13,43.2,43.2,43.8,-7.2,12.76,1.56,6.36,6.193005464,0.652677596,0.273224044,0.16695082,23,3.04,4.39,15.93,23,6,1.94,3.18,3.66,4,1.79,2.73,2.62,1,3,1.34,2.24,1,1.83,0.81,2.26,26.47,1.51,1.86,15.96
S,Sag_Harbor,-1.4,-2.6,-1.4,37.8,36.6,37.8,1.8,12.76,1.56,6.36,6.193005464,0.652677596,0.273224044,0.16695082,23,3.04,4.39,15.93,23,6,1.94,3.18,3.66,4,1.79,2.73,2.62,1,3,1.34,2.24,1,1.83,0.81,2.26,26.47,1.51,1.86,15.96
S,Sag_Harbor,4.2,5.4,4.2,43.2,44.4,43.2,-9,12.76,1.56,6.36,6.193005464,0.652677596,0.273224044,0.16695082,23,3.04,4.39,15.93,23,6,1.94,3.18,3.66,4,1.79,2.73,2.62,1,3,1.34,2.24,1,1.83,0.81,2.26,26.47,1.51,1.86,15.96
S,Sag_Harbor,4.4,6.8,8.6,41.4,43.8,45.6,-8.4,12.76,1.56,6.36,6.193005464,0.652677596,0.273224044,0.16695082,23,3.04,4.39,15.93,23,6,1.94,3.18,3.66,4,1.79,2.73,2.62,1,3,1.34,2.24,1,1.83,0.81,2.26,26.47,1.51,1.86,15.96
